Roll_No,Off_Name,Add_1,Add_2,Add_3,Add_4,County,Ethos,Island,DEIS,Gaeltacht,Male,Female,Total,Sex,xcoord,ycoord,Long,Lat
00697S,ST BRIGIDS MXD N S,CASTLEKNOCK,DUBLIN 15,,,Dublin,CATHOLIC,N,N,N,521,426,947,Mixed,309052,237325,-6.36123,53.3749
20427B,St Brigid's Kildare Town Primary School,Grey Abbey Road,Kildare Town,Co Kildare,,Kildare,CATHOLIC,N,Y,N,504,441,945,Mixed,272765.33,212118.99,-6.91216,53.1546
17914S,ST OLIVER PLUNKETT,ST OLIVER PLUNKETT NS,GROVE ROAD,MALAHIDE,CO DUBLIN,Dublin,CATHOLIC,N,N,N,449,472,921,Mixed,322916,245607,-6.14978,53.4462
20106E,SCOIL NIOCLAIS,FRANKFIELD,GRANGE,CORK,,Cork,CATHOLIC,N,N,N,457,450,907,Mixed,168562,68141,-8.45643,51.8647
18778S,S N NAOMH MOCHTA,CLONSILLA,DUBLIN 15,,,Dublin,CATHOLIC,N,N,N,463,429,892,Mixed,306174,238030,-6.40423,53.3818
19755L,SACRED HEART N S,HUNTSTOWN,MULHUDDART,DUBLIN 15,,Dublin,CATHOLIC,N,N,N,448,421,869,Mixed,305798,240310,-6.40911,53.4023
20003R,ST AIDANS PARISH SCHOOL,ENNISCORTHY,CO. WEXFORD,,,Wexford,CATHOLIC,N,Y,N,443,410,853,Mixed,296982,140147,-6.5716,52.5042
12203G,S N NAOMH ANTAINE,BALLINLOUGH,CORK,,,Cork,CATHOLIC,N,N,N,796,0,796,Boys,169211,70701,-8.44724,51.8878
17537O,SCOIL PADRAIG NAOFA,BRAY,CO WICKLOW,,,Wicklow,CATHOLIC,N,N,N,179,616,795,Mixed,326407,218242,-6.10817,53.1996
17961E,S N LUSCA,LUSK,CO DUBLIN,133,,Dublin,CATHOLIC,N,N,N,404,390,794,Mixed,321539,254788,-6.16694,53.529
19644C,ST CIARANS N S,HARTSTOWN,DUBLIN 15,,,Dublin,CATHOLIC,N,N,N,405,372,777,Mixed,305108,239317,-6.41981,53.3935
18872K,SCOIL IDE,CORBALLY,LIMERICK,,,Limerick,CATHOLIC,N,N,N,404,366,770,Mixed,158475,158674,-8.61401,52.6777
19474D,SCOIL COLMCILLE NAOFA,KNOCKLYON,TEMPLEOGUE,DUBLIN 16,,Dublin,CATHOLIC,N,N,N,396,366,762,Mixed,312363,227269,-6.31507,53.2838
19747M,SCOIL BHRIDE NS,PORTLAOISE,CO LAOIS,,,Laois,CATHOLIC,N,Y,N,373,383,756,Mixed,246071,198704,-7.31312,53.0371
19512I,ST OLIVERS NS,BALLYCASHEEN,KILLARNEY,CO KERRY,,Kerry,CATHOLIC,N,N,N,432,322,754,Mixed,97652,90294,-9.49228,52.0553
20130B,ST PATRICKS NS,St. Patrick's National School,Diswellstown Road,Castleknock,DUBLIN 15,Dublin,CATHOLIC,N,N,N,394,342,736,Mixed,307391,236604,-6.38643,53.3687
15040T,MERCY CONVENT PRIMARY SCHOOL,NAAS,CO KILDARE,,,Kildare,CATHOLIC,N,N,N,77,656,733,Mixed,289290,219787,-6.66304,53.221
13450F,Bunscoil Rinn an Chabhlaigh,COBH,CO CORK,,,Cork,CATHOLIC,N,N,N,376,352,728,Mixed,178283,66443,-8.31519,51.8499
19660A,RUSH NS,RUSH,CO DUBLIN,,,Dublin,CATHOLIC,N,N,N,350,375,725,Mixed,325780,253950,-6.10335,53.5204
14409N,SCOIL NEASSAIN,MUNGRET,LIMERICK,,,Limerick,CATHOLIC,N,N,N,370,351,721,Mixed,154794,153467,-8.66772,52.6306
13747F,RIVERSTOWN N S,GLANMIRE,CO CORK,,,Cork,CATHOLIC,N,N,N,357,360,717,Mixed,173032,75356,-8.3921,51.9298
17937H,SCOIL MOIN A LIN,CASTLEROY,LIMERICK,,,Limerick,CATHOLIC,N,N,N,378,339,717,Mixed,162866,156449,-8.54884,52.658
19671F,ST PAULS N S,ABBEYLANDS,NAVAN,CO MEATH,,Meath,CATHOLIC,N,N,N,361,352,713,Mixed,286990,268520,-6.684,53.6592
19967D,SCOIL IOSAGAIN,BUNCRANA,CO DONEGAL,,,Donegal,CATHOLIC,N,N,N,359,349,708,Mixed,234654,431899,-7.45663,55.1331
08099P,ST LAURENCES NATIONAL SCHOOL,SALLINS,CO KILDARE,,,Kildare,CATHOLIC,N,N,N,360,347,707,Mixed,289397,222807,-6.66059,53.2481
19629G,HOLY CROSS SCHOOL,BALLYCARNANE,TRAMORE,CO WATERFORD,,Waterford,CATHOLIC,N,N,N,356,347,703,Mixed,257128,101248,-7.1651,52.1602
12535I,S N URSULA NAOFA,URSULINE CONVENT,WATERFORD,,,Waterford,CATHOLIC,N,N,N,0,699,699,Girls,260616,110931,-7.1124,52.2469
19742C,ST COLMCILLE SENIOR N S,KNOCKLYON,DUBLIN 16,,,Dublin,CATHOLIC,N,N,N,359,337,696,Mixed,312320,227330,-6.31569,53.2844
20114D,SCOIL BRÍD,OLDTOWN,NAAS,CO KILDARE,,Kildare,CATHOLIC,N,N,N,365,330,695,Mixed,289359,220914,-6.66169,53.2311
19598V,MUIRE NA NGAEL NS,BAY ESTATE,DUNDALK,CO LOUTH,,Louth,CATHOLIC,N,N,N,363,328,691,Mixed,306681,306325,-6.37313,53.9951
19794V,AGHARDS N S,CELBRIDGE,CO KILDARE,,,Kildare,CATHOLIC,N,N,N,323,367,690,Mixed,296652,234130,-6.54848,53.3486
19769W,SCOIL THOMAIS,LAUREL LODGE,CASTLEKNOCK,DUBLIN 15,,Dublin,CATHOLIC,N,N,N,348,339,687,Mixed,308005,237647,-6.37685,53.378
19496N,SCOIL FHIACHRA SOISIR,BEAUMONT,DUBLIN 5,,,Dublin,CATHOLIC,N,N,N,358,328,686,Mixed,318038,238890,-6.22568,53.387
00512D,MIDLETON CONVENT N S,MIDLETON,CO CORK,,,Cork,CATHOLIC,N,N,N,135,550,685,Mixed,188795,72876,-8.16283,51.9081
13447Q,SCOIL MHUIRE,LUCAN,CO DUBLIN,,,Dublin,CATHOLIC,N,N,N,0,685,685,Girls,303915,235411,-6.43903,53.3587
20215J,ST PAULS NS,RATOATH,CO MEATH,,,Meath,CATHOLIC,N,N,N,356,328,684,Mixed,302671,251406,-6.45249,53.5026
13615L,SCOIL EOIN,BALLOONAGH,TRALEE,CO KERRY,,Kerry,CATHOLIC,N,N,N,287,390,677,Mixed,83254,114825,-9.71055,52.2728
20179I,ST STEPHENS NS,C/O ST MARTHAS COLLEGE,JOHNSTOWN,CO MEATH,,Meath,CATHOLIC,N,N,N,324,353,677,Mixed,289270,266753,-6.65003,53.6429
19721R,HOLY FAMILY JUNIOR N S,FOREST FIELDS,SWORDS,CO DUBLIN,,Dublin,CATHOLIC,N,N,N,335,336,671,Mixed,316836,246083,-6.24108,53.4519
17351A,S N NAOMH MHUIRE,BAILE MHIC GONAIR,PORTLAIRGE,,,Waterford,CATHOLIC,N,N,N,387,282,669,Mixed,263875,108569,-7.06513,52.2253
15556I,PRESENTATION PRIMARY SCHOOL,STATION ROAD,PORTARLINGTON,CO LAOIS,,Laois,CATHOLIC,N,N,N,160,505,665,Mixed,254800,211700,-7.18077,53.153
19730S,SCOIL OILIBHEIR,BALLINCOLLIE ROAD,BALLYVOLANE,CORK,,Cork,CATHOLIC,N,N,N,342,318,660,Mixed,168423,74421,-8.45902,51.9212
19336O,SCOIL PHOIL NAOFA,DOORADOYLE,LIMERICK,,,Limerick,CATHOLIC,N,N,N,334,326,660,Mixed,155936,154191,-8.65095,52.6372
17181B,ST JOSEPHS N S,TEMPLERAINEY,ARKLOW,CO WICKLOW,,Wicklow,CATHOLIC,N,N,N,342,312,654,Mixed,324707,174665,-6.15041,52.8086
19456B,ST CRONAN,BRACKENSTOWN,SWORDS,CO. DUBLIN,,Dublin,CATHOLIC,N,N,N,347,304,651,Mixed,317188,246873,-6.23548,53.4589
16677C,BUNSCOIL NA MBRAITHRE,ENNIS,CO CLARE,,,Clare,CATHOLIC,N,N,N,350,296,646,Mixed,134191,177899,-8.9769,52.8481
18288B,SCOIL MHICHIL NAOFA,ATHY,CO KILDARE,,,Kildare,CATHOLIC,N,Y,N,227,417,644,Mixed,268488,194141,-6.97992,52.9937
19850F,LADYSWELL N S,LADYSWELL,MULHUDDART,DUBLIN 15,,Dublin,CATHOLIC,N,Y,N,316,325,641,Mixed,306988,240718,-6.39109,53.4058
16145P,BUNSCOIL LORETO,GOREY,CO WEXFORD,,,Wexford,CATHOLIC,N,N,N,166,472,638,Mixed,315736,159416,-6.28877,52.6736
20231H,ST BENEDICTS NATIONAL SCHOOL,ONGAR,DUBLIN 15,,,Dublin,CATHOLIC,N,N,N,301,335,636,Mixed,303773,239221,-6.43991,53.3929
20141G,THE HAROLD SCHOOL,EDEN ROAD,GLASTHULE,CO DUBLIN,,Dublin,CATHOLIC,N,N,N,311,319,630,Mixed,325055,227806,-6.12464,53.2858
16646O,ST MARYS CONVENT N S,TRIM,CO MEATH,,,Meath,CATHOLIC,N,N,N,188,433,621,Mixed,280077,256355,-6.79168,53.551
19628E,ST FIACHRAS SEN N S,BEAUMONT,MONTROSE,DUBLIN 5,,Dublin,CATHOLIC,N,N,N,312,307,619,Mixed,318186,238945,-6.22344,53.3874
19878E,Holy Rosary Primary School,Old Court Avenue,Tallaght,,DUBLIN 24,Dublin,CATHOLIC,N,Y,N,346,271,617,Mixed,310214,226011,-6.34771,53.273
19486K,SCOIL NAIS DEAGLAIN,ASHBOURNE,CO MEATH,,,Meath,CATHOLIC,N,N,N,334,283,617,Mixed,306153,251815,-6.3999,53.5056
19573F,ST LAURENCES N S,ST LAURENCES N S,KINDLESTOWN,GREYSTONES,CO WICKLOW,Wicklow,CATHOLIC,N,N,N,318,299,617,Mixed,328154,211753,-6.08464,53.1409
19626A,ST CANICES CENTRAL N S,KILKENNY,CO KILKENNY,,,Kilkenny,CATHOLIC,N,N,N,321,294,615,Mixed,249987,156780,-7.26116,52.66
18551N,SCOIL NA MAINISTREACH,"OLDTOWN ROAD,",CELBRIDGE,CO. KILDARE.,,Kildare,CATHOLIC,N,N,N,613,0,613,Boys,296338,233171,-6.55349,53.34
20187H,DIVINE MERCY SENIOR NATIONAL SCHOOL,BALGADDY,LUCAN,CO DUBLIN,,Dublin,CATHOLIC,N,N,N,307,304,611,Mixed,305507,233324,-6.41582,53.3396
19258U,SCOIL PADRAIG NAOFA B,Hollypark,Blackrock,Co Dublin,,Dublin,CATHOLIC,N,N,N,606,0,606,Boys,321782,227067,-6.17398,53.2799
18044T,S N NAOMH PADRAIG,STAMULLEN,CO MEATH,,,Meath,CATHOLIC,N,N,N,291,313,604,Mixed,314814,266088,-6.26416,53.632
19894C,AN MHODH SCOIL,ASCAIL UI CHONAILL,LUIMNEACH,,,Limerick,CATHOLIC,N,N,N,302,301,603,Mixed,157156,156144,-8.63318,52.6549
19627C,JOHN PAUL II N S,SONESTA,MALAHIDE,CO DUBLIN,,Dublin,CATHOLIC,N,N,N,338,264,602,Mixed,321670,246424,-6.16821,53.4538
17662R,S N BRIGHDE,KILL,CO KILDARE,,,Kildare,CATHOLIC,N,N,N,320,282,602,Mixed,294324,223075,-6.58671,53.2497
19535U,BRACKENSTOWN SENIOR N S,BRACKENSTOWN,SWORDS,CO DUBLIN,,Dublin,CATHOLIC,N,N,N,308,293,601,Mixed,317255,246855,-6.23448,53.4587
13217W,HOLY FAMILY NATIONAL SCHOOL,RATHCOOLE,CO DUBLIN,,,Dublin,CATHOLIC,N,N,N,317,284,601,Mixed,301724,226601,-6.47475,53.28
15042A,ENNIS N S,ENNIS,CO CLARE,,,Clare,CATHOLIC,N,N,N,302,289,591,Mixed,133520,177128,-8.9867,52.841
19877C,HOLY FAMILY SENIOR N S,FOREST FIELDS,RIVER VALLEY,SWORDS,CO DUBLIN,Dublin,CATHOLIC,N,N,N,308,273,581,Mixed,316844,246121,-6.24094,53.4522
20201V,TYRRELSTOWN EDUCATE TOGETHER NATIONAL SCHOOL,HOLLYWOOOD ROAD,TYRRELSTOWN,DUBLIN 15,,Dublin,MULTI DENOMINATIONAL,N,N,N,312,269,581,Mixed,307084,241686,-6.38932,53.4144
20033D,DUNBOYNE SENIOR N S,DUNBOYNE,CO. MEATH.,,,Meath,CATHOLIC,N,N,N,297,284,581,Mixed,301693,242036,-6.47026,53.4186
19839R,GAEL SCOIL UI RIORDAIN,CUL RUA,BAILE AN CHOLLAIGH,CO CHORCAI,,Cork,CATHOLIC,N,N,N,306,271,577,Mixed,157536,70742,-8.61682,51.8874
13612F,PRESENTATION PRIMARY SCHOOL,TERENURE,DUBLIN 6W,,,Dublin,CATHOLIC,N,N,N,0,576,576,Girls,314152,230270,-6.28717,53.3104
19371Q,S N IOGNAID,BOTHAR NA SLIOGAN,GAILLIMH,,,Galway,CATHOLIC,N,N,N,334,237,571,Mixed,129164,224962,-9.06186,53.2703
19472W,ST MARKS JUNIOR N S,SPRINGFIELD,TALLAGHT,DUBLIN 24,,Dublin,CATHOLIC,N,N,N,311,255,566,Mixed,307632,227479,-6.38591,53.2867
07242M,CLOGHROE MIXED N S,BLARNEY,CO CORK,,,Cork,CATHOLIC,N,N,N,280,284,564,Mixed,157666,74128,-8.61535,51.9178
19739N,SCOIL MHUIRE COOLCOTTS,SCOIL MHUIRE,COOLCOTTS,CO WEXFORD,,Wexford,CATHOLIC,N,Y,N,296,267,563,Mixed,303378,121547,-6.48317,52.3359
19848S,ST ETCHENS NATIONAL SCHOOL,KINNEGAD,CO WESTMEATH,,,Westmeath,CATHOLIC,N,N,N,285,275,560,Mixed,259636,245521,-7.10214,53.4564
18563U,SCOIL NAOMH BRID C,EGLANTINE HOUSE,BALLINLOUGH,CORK,,Cork,CATHOLIC,N,N,N,0,557,557,Girls,169346,70143,-8.44523,51.8828
19865S,DIVINE MERCY JUNIOR NATIONAL SCHOOL,BALGADDY,LUCAN,CO DUBLIN,,Dublin,CATHOLIC,N,N,N,286,270,556,Mixed,305571,233403,-6.41483,53.3403
20032B,DUNBOYNE JUNIOR N S,DUNBOYNE,CO. MEATH,,,Meath,CATHOLIC,N,N,N,284,268,552,Mixed,301744,242120,-6.46946,53.4194
19566I,OUR LADY QUEEN OF APOSTLES,QUEEN OF APOSTLES NS,CLONBURRIS,CLONDALKIN,DUBLIN 22,Dublin,CATHOLIC,N,Y,N,287,264,551,Mixed,306573,231873,-6.40031,53.3264
19676P,SCOIL AINE NAOFA,ESKER,LUCAN,CO DUBLIN,,Dublin,CATHOLIC,N,N,N,276,275,551,Mixed,303364,234304,-6.44766,53.3489
16353W,ST BRIGIDS GIRLS N S,The Park,Cabinteely,Dublin 18,,Dublin,CATHOLIC,N,N,N,0,548,548,Girls,322186,225849,-6.16839,53.2689
20241K,Scoil Choilm Community NS,Porterstown Rd,Clonsilla,Dublin 15,,Dublin,MULTI DENOMINATIONAL,N,Y,N,294,254,548,Mixed,305945,237362,-6.40789,53.3758
20388R,Bunscoil Chriost Ri,Turners Cross,Cork,,,Cork,CATHOLIC,N,N,N,351,196,547,Mixed,167859,70771,-8.46688,51.8883
19256Q,SCOIL GHOBNATAN,MALLOW,CO CORK,,,Cork,CATHOLIC,N,N,N,297,246,543,Mixed,155805,97721,-8.64544,52.1297
18654A,CARAGH N S,NAAS,CO KILDARE,,,Kildare,CATHOLIC,N,N,N,278,261,539,Mixed,284861,221471,-6.72889,53.2369
19259W,ST PATRICKS GNS,FOXROCK AVE,FOXROCK,DUBLIN 18,,Dublin,CATHOLIC,N,N,N,0,538,538,Girls,321748,227004,-6.17451,53.2794
17720F,SCOIL NAOMH CAOIMHGHIN,GREYSTONES,CO WICKLOW,,,Wicklow,CATHOLIC,N,N,N,290,247,537,Mixed,328851,212640,-6.07387,53.1487
19675N,ST BRIGIDS N S,KILCULLEN,CO KILDARE,,,Kildare,CATHOLIC,N,N,N,264,268,532,Mixed,283667,209543,-6.74989,53.1299
16566Q,SCOIL BRID,MAIN STREET,CELBRIDGE,CO KILDARE,,Kildare,CATHOLIC,N,N,N,0,530,530,Girls,297242,233137,-6.53993,53.3395
00729F,CLOCHAR LORETO N S,GRANGE ROAD,RATHFARNHAM,DUBLIN 14,,Dublin,CATHOLIC,N,N,N,0,527,527,Girls,314824,228129,-6.27787,53.291
18515J,PROSPEROUS N S,NAAS,CO KILDARE,,,Kildare,CATHOLIC,N,N,N,293,233,526,Mixed,283343,227038,-6.75016,53.2871
19178W,ST PIUS X G N S,FORTFIELD PARK,TERENURE,DUBLIN 6,,Dublin,CATHOLIC,N,N,N,0,525,525,Girls,313067,229354,-6.30377,53.3024
00779U,PRESENTATION GIRLS PRIMARY SCHOOL,MAYNOOTH,CO KILDARE,,,Kildare,CATHOLIC,N,N,N,5,520,525,Mixed,294023,237904,-6.58683,53.3829
14586M,CARYSFORT NS,CONVENT ROAD,BLACKROCK,CO DUBLIN,,Dublin,CATHOLIC,N,N,N,259,265,524,Mixed,321194,228936,-6.18208,53.2969
19771J,SCOIL BARRA,INNISHMORE,BAILE AN CHOLLAIGH,CO CHORCAI,,Cork,CATHOLIC,N,N,N,280,242,522,Mixed,158290,71010,-8.6059,51.8898
18535P,ST. JOHNS GIRLS N S,BALLEA RD,CARRIGALINE,CO CORK,,Cork,CATHOLIC,N,N,N,0,520,520,Girls,172571,62986,-8.39782,51.8186
19881Q,GAELSCOIL CARRIG UI LEIGHINN,CARRIG UI LEIGHINN,CO CHORCAI,,,Cork,CATHOLIC,N,N,N,280,240,520,Mixed,173358,63147,-8.38642,51.8201
19177U,ST PIUS X N S BOYS,FORTFIELD PARK,TERENURE,DUBLIN 6,,Dublin,CATHOLIC,N,N,N,520,0,520,Boys,313019,229365,-6.30449,53.3025
19390U,ST MARKS SEN NS,SPRINGFIELD,TALLAGHT,DUBLIN 24,,Dublin,CATHOLIC,N,N,N,287,231,518,Mixed,307602,227494,-6.38635,53.2868
19958C,S.N. NAOMH FHIACH,GRAIGUECULLEN,CO CARLOW,,,Carlow,CATHOLIC,N,N,N,268,248,516,Mixed,271106,176780,-6.94473,52.8373
20247W,Scoil Ghrainne Community National School,Phibblestown,Dublin 15,,,Dublin,MULTI DENOMINATIONAL,N,N,N,271,242,513,Mixed,304111,239777,-6.43464,53.3979
19542R,ST THOMAS JUNIOR NATIONAL SCHOOL,ESKER,LUCAN,CO DUBLIN,,Dublin,CATHOLIC,N,N,N,260,251,511,Mixed,303339,234255,-6.44805,53.3484
17930Q,S N SEACHNAILL NAOFA,DUNSHAUGHLIN,CO MEATH,,,Meath,CATHOLIC,N,N,N,250,261,511,Mixed,296884,251972,-6.53951,53.5088
20346B,Kilcoole Primay School,Kilcoole,Wicklow,,,Wicklow,CATHOLIC,N,N,N,249,256,505,Mixed,329466,208416,-6.06639,53.1106
19800N,MILFORD GRANGE N SCHOOL,MILFORD,CASTLETROY,CO LIMERICK,,Limerick,CATHOLIC,N,N,N,242,260,502,Mixed,161699,158029,-8.56627,52.6722
19274S,ST CONAIRES NS,SHANNON,CO CLARE,,,Clare,CATHOLIC,N,N,N,248,252,500,Mixed,141205,161984,-8.86994,52.7059
08490N,ST CLARES PRIMARY SCHOOL,CAVAN,CO CAVAN,,,Cavan,CATHOLIC,N,Y,N,115,384,499,Mixed,242225,304903,-7.35615,53.9916
16872A,CRONAN NAOFA N S,BRAY,CO WICKLOW,,,Wicklow,CATHOLIC,N,N,N,499,0,499,Boys,326510,218160,-6.10666,53.1988
19768U,SCOIL MHUIRE,ASHBOURNE,CO MEATH,,,Meath,CATHOLIC,N,N,N,244,254,498,Mixed,306267,252951,-6.39779,53.5158
17341U,MAYNOOTH B N S,MAYNOOTH,CO KILDARE,,,Kildare,CATHOLIC,N,N,N,497,0,497,Boys,293516,237951,-6.59443,53.3835
16675V,SCOIL NAOMH LUCAIS,HOLLYWOOD ROAD,TYRELLSTOWN,DUBLIN 15,115,Dublin,CATHOLIC,N,N,N,242,254,496,Mixed,306947,241687,-6.39138,53.4145
19114T,ST PATRICK GNS,BALLYROAN,RATHFARNHAM,DUBLIN 16,,Dublin,CATHOLIC,N,N,N,131,365,496,Mixed,313414,227547,-6.29921,53.2861
20161M,DONABATE/PORTRANE EDUCATE TOGETHER,BALLISK COMMON,BEAVERSTOWN ROAD,DONABATE,CO DUBLIN,Dublin,MULTI DENOMINATIONAL,N,N,N,262,231,493,Mixed,323066,250415,-6.14564,53.4893
16573N,ST BRIGIDS SCHOOL,GREYSTONES,CO WICKLOW,,,Wicklow,CATHOLIC,N,N,N,231,262,493,Mixed,329619,212474,-6.06246,53.147
16908S,SIXMILEBRIDGE N S,ENNIS,CO CLARE,,,Clare,CATHOLIC,N,N,N,265,227,492,Mixed,147472,166073,-8.77787,52.7432
05508O,ST COLUMBAS N.S,WITH FACILITY FOR DEAF CHILDREN,DUGHLAS,CORCAIGH,,Cork,CATHOLIC,N,N,N,19,471,490,Mixed,169486,69073,-8.4431,51.8732
17728V,S N TALAMH NA COILLE,TALAMH NA COILLE,LETTERKENNY,CO DONEGAL,,Donegal,CATHOLIC,N,N,N,260,230,490,Mixed,220764,414648,-7.67567,54.9789
16352U,ST BRIGIDS BOYS N S,FOXROCK,DUBLIN 18,118,,Dublin,CATHOLIC,N,N,N,489,0,489,Boys,322194,225819,-6.16828,53.2686
00714P,LUCAN B N S,LUCAN,CO DUBLIN,,,Dublin,CATHOLIC,N,N,N,489,0,489,Boys,303669,235478,-6.4427,53.3593
11525A,ST PATRICKS N SCHOOL,DRUMCONDRA,DUBLIN 9,,,Dublin,CATHOLIC,N,N,N,484,4,488,Mixed,315979,236945,-6.25733,53.37
18451J,SCOIL LORCAIN,CEARNOG EATON,BAILE NA MANACH,CO ATHA CLIATH,,Dublin,CATHOLIC,N,N,N,256,232,488,Mixed,322413,228914,-6.16381,53.2964
19795A,TIRELLAN HEIGHTS N S,HEADFORD ROAD,GALWAY,,,Galway,CATHOLIC,N,Y,Y,248,240,488,Mixed,130442,227085,-9.04317,53.2895
19476H,ST OLIVER PLUNKETT NS,NAVAN,CO MEATH,,,Meath,CATHOLIC,N,Y,N,262,225,487,Mixed,287423,268884,-6.67735,53.6624
18247K,S N MHUIRE NA MBRAITHRE,TRALEE,CO KERRY,,,Kerry,CATHOLIC,N,N,N,328,158,486,Mixed,84092,114751,-9.69825,52.2723
08221J,ST SENANS NATIONAL SCH,TEMPLESHANNON,ENNISCORTHY,CO WEXFORD,,Wexford,CATHOLIC,N,Y,N,232,254,486,Mixed,298058,140171,-6.55575,52.5042
17055T,S N  NAOMH MHUIRE,SAGGART,CO DUBLIN,130,,Dublin,CATHOLIC,N,N,N,240,242,482,Mixed,303834,226479,-6.44317,53.2785
19574H,MARLEY GRANGE NS,DIVINE WORD NS,MARLEY GRANGE,RATHFARNHAM,DUBLIN 16,Dublin,CATHOLIC,N,N,N,247,235,482,Mixed,315215,227337,-6.27229,53.2838
19940G,GAELSCOIL NAOMH PADRAIG,LEAMHCAN,CO BAILE ATHA CLIATH,,,Dublin,CATHOLIC,N,N,N,252,229,481,Mixed,304234,234493,-6.43454,53.3504
09750S,ST JOSEPHS BOYS N S,TERENURE,DUBLIN 6,,,Dublin,CATHOLIC,N,N,N,480,0,480,Boys,314560,230169,-6.28109,53.3094
19811S,GAELSCOIL EOGHAIN UÍ THUAIRISC,Garrán na Fuinseoige,Ceatharlach,,,Carlow,CATHOLIC,N,N,N,219,260,479,Mixed,273395,175932,-6.91096,52.8294
19897I,SCOIL UÍ RIADA,CILL CHOCA,CO. CHILL DARA,,,Kildare,CATHOLIC,N,N,N,258,221,479,Mixed,288051,239651,-6.67607,53.3997
19888H,ST ANNES MXD N S,STONEBRIDGE ROAD,SHANKILL,CO DUBLIN,,Dublin,CATHOLIC,N,N,N,237,241,478,Mixed,324981,222037,-6.12801,53.234
19446V,SCOIL MHUIRE BOYS,GRANGE ROAD,RATHFARNHAM,DUBLIN 14,,Dublin,CATHOLIC,N,N,N,478,0,478,Boys,314477,228515,-6.28293,53.2946
12077E,SCOIL NAOMH FIACHRA,Illistrin,Letterkenny,Co. Donegal,,Donegal,CATHOLIC,N,N,N,253,224,477,Mixed,217215,416511,-7.73099,54.9958
19494J,BISHOP GALVIN NS,ORWELL PARK,TEMPLEOGUE,DUBLIN 16,,Dublin,CATHOLIC,N,N,N,259,218,477,Mixed,312152,228821,-6.31768,53.2978
20137P,MARY  MOTHER OF HOPE SENIOR NS,LITTLEPACE,CASTAHEANY,DUBLIN 15,,Dublin,CATHOLIC,N,N,N,232,244,476,Mixed,304873,240535,-6.42294,53.4045
00885T,RATOATH JUNIOR N S,RATOATH,CO MEATH,,,Meath,CATHOLIC,N,N,N,243,232,475,Mixed,301811,251417,-6.46545,53.5029
16013V,EDENDERRY CONVENT N S,ST MARYS ROAD,EDENDERRY,CO OFFALY,,Offaly,CATHOLIC,N,N,N,115,360,475,Mixed,262696,232427,-7.05867,53.3384
20024C,BUN SCOIL MUIRE,O'BRIEN'S PLACE,YOUGHAL,CO CORK,,Cork,CATHOLIC,N,N,N,247,227,474,Mixed,210774,77253,-7.84329,51.9474
20058T,SCOIL UI FHIAICH,BÓTHAR CHILL DROICHID,MAIGH NUAD,CO. CHILL DARA,,Kildare,CATHOLIC,N,N,N,248,226,474,Mixed,294393,236482,-6.58169,53.3701
16100Q,MERCY CONVENT N S,NAVAN,CO MEATH,,,Meath,CATHOLIC,N,N,N,234,240,474,Mixed,286827,267509,-6.68675,53.6501
19515O,SN NAOMH TREASA,BAILE BRIGIN,CO ATH CLIATH,,,Dublin,CATHOLIC,N,Y,N,237,236,473,Mixed,320922,263053,-6.17305,53.6033
19994G,GAELSCOIL MHIC AMHLAIGH,"AN COIMIN MOR,","CNOC NA CATHRACH,",GAILLIMH.,,Galway,CATHOLIC,N,N,Y,222,250,472,Mixed,124941,224406,-9.12502,53.2647
11986N,CONVENT OF MERCY,PAIRC AN CHINNEIDEACH,LOCH GARMAN,,,Wexford,CATHOLIC,N,Y,N,247,224,471,Mixed,303870,120728,-6.47621,52.3284
18052S,S N MUIRE GAN SMAL,CLOCHAR LORETO,LEITIR CEANAINN,CO DHUN NA NGALL,,Donegal,CATHOLIC,N,N,N,0,470,470,Girls,216613,411668,-7.74068,54.9523
17254C,SCOIL CHORBAIN,NAAS,CO KILDARE,,,Kildare,CATHOLIC,N,N,N,469,0,469,Boys,289361,219091,-6.66217,53.2147
20124G,ST MARYS N.S.,Edgeworthstown,Co Longford,,,Longford,CATHOLIC,N,Y,N,247,222,469,Mixed,226301,272117,-7.60176,53.6981
13828F,DOUGLAS B N S,DOUGLAS,CORK,,,Cork,CATHOLIC,N,N,N,467,1,468,Mixed,169673,69081,-8.44038,51.8732
19927O,SCOIL MHUIRE B & C,STRANORLAR,CO DONEGAL,,,Donegal,CATHOLIC,N,N,N,254,214,468,Mixed,214462,394986,-7.77509,54.8025
16577V,ST BRIGIDS CONVENT,GLASNEVIN,DUBLIN 11,111,,Dublin,CATHOLIC,N,N,N,0,468,468,Girls,314809,237658,-6.27464,53.3766
17821L,ST. MARY'S PRIMARY SCHOOL,ENFIELD,CO MEATH,,,Meath,CATHOLIC,N,N,N,243,224,467,Mixed,277701,240990,-6.83133,53.4133
20271T,Scoil na Naomh Uilig,Station Road,Newbridge,Co. Kildare,,Kildare,CATHOLIC,N,N,N,248,217,465,Mixed,280229,215274,-6.79981,53.1819
17979A,S N CNOC AINBHIL,LR KILMACUD RD,STILLORGAN/BLACKROCK,CO DUBLIN.,114,Dublin,CATHOLIC,N,N,N,0,464,464,Girls,318903,227998,-6.21677,53.289
19549I,ST FINTANS NS,ST FINTAN N S,CARRICKBRACK RD,SUTTON,DUBLIN 13,Dublin,CATHOLIC,N,N,N,223,241,464,Mixed,326806,238355,-6.09417,53.3801
